institution-id,institution-name,institution-url
63226,St. Francis College,http://www.sfc.edu
63712,University of Rochester,http://www.rochester.edu
62521,North Carolina A & T State University,http://www.ncat.edu
61325,Flagler College-St Augustine,http://www.flagler.edu/
61048,Lehman College - CUNY ,http://www.lehman.cuny.edu
59917,Loyola University Maryland,http://www.loyola.edu
59925,Monmouth University,http://www.monmouth.edu
61976,Kutztown University of PA,http://www.kutztown.edu
63773,Utica College,http://www.utica.edu
62647,Ohio Wesleyan University,http://www.owu.edu
63276,Sul Ross State University,http://www.sulross.edu
63306,Sweet Briar College,http://www.sbc.edu
63423,The University of West Florida,http://uwf.edu
63518,University of Alaska Anchorage,http://www.uaa.alaska.edu
63556,University of Houston-Downtown,http://www.uhd.edu
63721,University of South Carolina-Beaufort,http://www.uscb.edu
63915,Western New England University,http://www.wne.edu
60829,Chadron State College,http://www.csc.edu
60916,College for Creative Studies,http://www.collegeforcreativestudies.edu
61041,CUNY Bronx Community College,http://www.bcc.cuny.edu
61153,Doane University,http://www.doane.edu
61191,Eastern Illinois University,http://www.eiu.edu
61392,Freed-Hardeman University,http://www.fhu.edu
61397,Frostburg State University,http://www.frostburg.edu
61463,Gordon College,http://www.gordon.edu
62179,Marian University (IN),http://www.marian.edu
62288,Midwestern State University,http://msutexas.edu
60174,Iowa State University,http://www.iastate.edu
60227,Pacific Union College,http://www.puc.edu
60242,Santa Clara University,http://www.scu.edu
60272,Texas Woman's University,http://www.twu.edu
60635,Bridgewater College,http://www.bridgewater.edu
60719,California Baptist University,http://calbaptist.edu
59885,Fisher College,http://www.fisher.edu
62309,Millikin University,http://www.millikin.edu
62989,San Francisco Art Institute,http://www.sfai.edu
60805,Central Ohio Technical College,http://www.cotc.edu
61990,Lake Forest College,http://www.lakeforest.edu
59869,Concordia University-Wisconsin,http://www.cuw.edu
62746,Pennsylvania State University - Schuylkill,http://schuylkill.psu.edu/
63859,Washington and Lee University,http://www.wlu.edu
60144,DePauw University,http://www.depauw.edu
60147,Drake University,http://www.drake.edu
61680,Iowa Central Community College,http://www.iowacentral.edu
63468,Trinity University,http://new.trinity.edu
63903,West Virginia University Institute of Technology,http://www.wvutech.edu
63955,Widener University - Main Campus,http://www.widener.edu
60148,Duke University,http://www.duke.edu
61241,Emory & Henry College,http://www.ehc.edu
63744,University of Virginia,http://www.virginia.edu
63045,School of the Art Institute of Chicago,http://www.saic.edu
63912,Western Michigan University,http://www.wmich.edu
60292,University of North Carolina at Charlotte,http://www.uncc.edu
61178,East Carolina University,http://www.ecu.edu
61406,Gardner-Webb University,http://gardner-webb.edu
63735,University of the Incarnate Word,http://www.uiw.edu
60548,Bellevue College,http://www.bellevuecollege.edu
59950,Prairie View A&M University,http://www.pvamu.edu
61403,Gallaudet University,http://www.gallaudet.edu
64065,Northeast College of Health Sciences,http://www.nycc.edu/
59905,Illinois College,http://www.ic.edu
60325,Washington University in St. Louis,http://www.wustl.edu
60198,University of Missouri Columbia,http://www.missouri.edu
60849,Chowan University,http://www.chowan.edu
60852,Christopher Newport University,http://cnu.edu
63531,University of Chicago,http://www.uchicago.edu
62957,Saint Leo University,http://www.saintleo.edu
60265,Temple University,http://www.temple.edu
59860,Buffalo State Tour,http://www.buffalostate.edu
59912,Kent State University at Kent,http://www.kent.edu
59914,La Roche University,http://www.laroche.edu
59969,Saint Vincent College,http://www.stvincent.edu
60011,Wentworth Institute of Technology,http://www.wit.edu
60421,Angelo State University,http://www.angelo.edu
60499,Austin Peay State University,http://www.apsu.edu
60547,Bellarmine University,http://www.bellarmine.edu
61419,George Mason University,http://www.gmu.edu
61839,Jackson State University,http://www.jsums.edu
62007,Lamar University,http://www.lamar.edu
62270,MidAmerica Nazarene University,http://www.mnu.edu
62890,Ringling College of Art and Design,http://www.ringling.edu
63389,The College of Saint Rose,http://www.strose.edu
63850,Walsh University,http://www.walsh.edu
63878,Wells College,http://www.wells.edu
61421,Georgetown College,http://www.georgetowncollege.edu
62140,Loyola University Chicago,http://www.luc.edu
62399,Mount Saint Mary College,http://www.msmc.edu
62733,Pennsylvania State University-Abington,http://www.abington.psu.edu/psasite.php
61399,Fulton-Montgomery Community College,http://www.fmcc.edu
62147,Lycoming College,http://www.lycoming.edu
63419,The University of Texas of the Permian Basin,http://www.utpb.edu
106765,Perelman School of Medicine ,http://www.med.upenn.edu/
63228,Stanbridge University,http://www.stanbridge.edu
63546,University of Evansville,http://www.evansville.edu
64055,Penn State Greater Allegheny,http://www.ga.psu.edu/
60245,San Diego Miramar College,http://www.sdmiramar.edu
60439,Aquinas College (MI),http://www.aquinas.edu
63287,SUNY Old Westbury,http://www.oldwestbury.edu
60934,College of Saint Mary,http://www.csm.edu
60021,York Technical College,http://www.yorktech.edu
61483,Green River College,http://www.greenriver.edu
61648,Indiana Tech,http://www.indianatech.edu
63473,Triton College,http://www.triton.edu
61985,Lafayette College,http://www.lafayette.edu
63980,Winthrop University,http://www.winthrop.edu
62952,University of Saint Joseph,http://www.usj.edu
60099,Bates College,http://www.bates.edu
61503,Hamline University,http://www.hamline.edu
60167,Grossmont-Cuyamaca Community College District,http://www.grossmont.edu
62182,Marist College,http://www.marist.edu
62618,Oakwood University,http://www.oakwood.edu
61589,Hiram College,http://www.hiram.edu
60978,Columbus College of Art & Design,http://www.ccad.edu
63709,University of Rhode Island,http://www.uri.edu
60721,California College of the Arts,http://www.cca.edu
61098,Dean College,http://www.dean.edu
61617,Howard University,http://www.howard.edu
59847,Belmont Abbey College,http://www.belmontabbeycollege.edu
61188,Eastern Connecticut State University,http://www.easternct.edu
61488,Grinnell College,http://www.grinnell.edu
62963,Saint Mary's College,http://www.saintmarys.edu
66382,Johnson & Wales University,http://www.jwu.edu
60195,University of Miami,http://www.miami.edu
60470,Arkansas Tech University,http://www.atu.edu
60556,Bemidji State University,http://www.bemidjistate.edu
61412,Gateway Technical College,http://www.gtc.edu
61646,Indian Hills Community College,http://www.indianhills.edu
61960,Kettering University,http://www.kettering.edu
62102,Lipscomb University,http://www.lipscomb.edu
62880,Rhode Island College,http://www.ric.edu
63290,SUNY College at Potsdam,http://www.potsdam.edu
63295,SUNY Delhi,http://www.delhi.edu
63299,SUNY Maritime College,http://www.sunymaritime.edu
63393,The College of Wooster,http://www.wooster.edu
60104,Bowdoin College,http://www.bowdoin.edu
61461,Gonzaga University,http://www.gonzaga.edu
62736,Penn State Brandywine,http://www.brandywine.psu.edu
63535,University of Colorado-Colorado Springs,http://www.uccs.edu
63153,SIU Edwardsville,http://www.siue.edu
63284,Fredonia,http://www.fredonia.edu
60254,Saint Louis University-Main,http://www.imagine.slu.edu
61016,Corning Community College,http://www.corning-cc.edu
62638,Ohio State University-Newark,http://newark.osu.edu
63053,Seattle University,http://www.seattleu.edu
62474,Neumann University,http://www.neumann.edu
61198,Eastern New Mexico University-Main,http://www.enmu.edu
61585,Hilbert College,http://www.hilbert.edu
59962,Southern New Hampshire University,http://www.snhu.edu
60777,Catholic University of America,http://www.catholic.edu
61389,Franklin W. Olin College of Engineering,http://www.olin.edu
63238,Sterling College (KS),http://www.sterling.edu
61233,Elmhurst University,http://www.elmhurst.edu
63142,Southeastern Louisiana University,http://www.southeastern.edu
63534,University of Colorado Denver,http://www.ucdenver.edu
59877,Embry-Riddle Aeronautical University-Prescott,http://prescott.erau.edu
59836,Adler University,http://www.adler.edu
59935,Northern Illinois University,http://www.niu.edu
62659,Old Dominion University,http://www.odu.edu
60201,"Minnesota State University, Mankato",http://ahn.mnsu.edu
60961,Colorado State University Pueblo,https://www.csupueblo.edu/
63710,University of Richmond,http://www.richmond.edu
60283,University of Houston,http://www.uh.edu
61581,High Point University,http://www.highpoint.edu
61596,Hollins University,http://www.hollins.edu
61942,Keiser University,http://www.keiseruniversity.edu
61961,Keuka College,http://www.keuka.edu
59941,Oregon Institute of Technology,http://www.oit.edu
60168,Georgia State University,http://www.gsu.edu
60287,University of Missouri-Kansas City,http://www.umkc.edu
62054,Lehigh University,http://www.lehigh.edu
62232,Mercer University,http://www.mercer.edu
59907,Indiana State University,http://www.indstate.edu
62855,Regis College,http://www.regiscollege.edu
63877,Webster University,http://www.webster.edu
63495,United States Coast Guard Academy,http://www.uscga.edu
63733,University of St. Francis,http://www.stfrancis.edu
61987,Laguna College of Art and Design,http://www.lcad.edu
62150,Lynn University,http://www.lynn.edu
62172,Manor College,http://www.manor.edu
62197,Marymount Manhattan College,http://www.mmm.edu
62214,McMurry University,http://mcm.edu
62485,New Jersey City University,http://www.njcu.edu
62533,North Dakota State University-Main,http://www.ndsu.edu
62601,Northwestern University,http://www.northwestern.edu
62639,Ohio Technical College,http://ohiotech.edu
62941,Saint Augustine's University,http://www.st-aug.edu
63607,University of North Carolina at Pembroke,http://www.uncp.edu
63716,University of Science and Arts of Oklahoma,http://usao.edu
60702,Bryant University,http://www.bryant.edu
59870,Concordia College-New York,http://www.concordia-ny.edu
59946,Park University,http://www.park.edu
60020,York College,http://www.york.edu
60197,Mills College,http://www.mills.edu
63906,Western Connecticut State University,http://www.wcsu.edu
63965,William Penn University,http://www.wmpenn.edu
64080,Shawnigan Lake School,http://www.shawnigan.ca/
60906,Colby College,http://www.colby.edu
