,location-id,location-name,institution-id,institution-name,institution-url,stops
23,80249,UNE Portland,59995,University of New England,http://www.une.edu,"['Finley Recreation Center', 'Welcome', 'College of Pharmacy', 'McDougall Hall', 'Ludcke Auditorium', 'Goddard Hall', 'Oral Health Center', 'Linnell Hall', 'Alexander Hall', 'Innovation Hall', 'Hersey Hall', 'Proctor Hall', 'Alumni Hall', 'Abplanalp Library', 'Ginn Hall', 'Art Gallery', 'Parker Pavilion', 'Blewett Hall', 'Coleman Dental Hygiene Building', 'UNE North']"
24,143636,UNE Tangier,59995,University of New England,http://www.une.edu,"['Exterior  - Academic Bldg main entrance', 'Academic Bldg Lobby', 'Academic Bldg Auditorium', 'Academic Bldg 2nd Floor', 'Academic Bldg Roof Exterior', 'Exterior - Residence', 'Cafeteria', 'Room ', 'Around the City of Tangier', 'Around Morocco']"
25,89241,Hofstra University,61595,Hofstra University,http://www.hofstra.edu,"['Hofstra Hall', '2020 Hofstra Hall', 'Zucker School of Medicine', 'Graduate Residence Halls', 'Hofstra Hall - Welcome', 'DeMatteis School of Engineering and Applied Science', '2020 DeMatteis School of Engineering and Applied Science – Adams and Weed Hall', 'Joseph G. Shapiro Family Hall', 'Adams Playhouse', '2020 Joseph G. Shapiro Family Hall', 'First-Year Residence Halls', 'Fine Arts & Humanities – Calkins Hall', '2020 Adams Playhouse', 'Herbert School of Communication', '2020 Fine Arts & Humanities – Calkins Hall', '2020 Herbert School of Communication', 'Deane School of Law', 'Gittleson Hall', 'Berliner Hall - Sciences', 'Zarb School of Business', 'The Career Center', '2020 Deane School of Law', 'The Career Center 1', 'Athletic Facilities', 'Hagedorn Hall – Education and Health', '2020 Gittleson Hall', '2020 Sciences – Berliner Hall', 'Axinn Library', '2020 Zarb School of Business', 'Mack Student Center', '2020 The Career Center', '2020 Athletic Facilities', 'Undergraduate Residence Halls', 'Netherlands Hall Resident Suite', '2020 Hagedorn Hall – Education and Health', 'HofUSA', '2020 Axinn Library', 'Fitness Center', '2020 Mack Student Center', 'Admission – Bernon Hall', 'Columbus Circle', '2020 Undergraduate Residence Halls', '2020 Netherlands Hall Resident Suite', '2020 HofUSA', '2020 Fitness Center', '2020 Admission – Bernon Hall']"
26,143526,Zarb School of Business,61595,Hofstra University,http://www.hofstra.edu,"['Zarb School Second floor', 'Martin B Greenberg Trading Room', 'The Cybersecurity Innovation and Research Center', 'CV Starr 205 Immersion Classroom', 'Graduate Business Career Relations', 'Exchange room on 4th floor', 'Behavioral Research in Business Lab', 'IdeaHUb', 'Outside view of Business buildings', 'Midtown NYC ', 'UG Content']"
27,143520,Maurice A. Deane School of Law,61595,Hofstra University,http://www.hofstra.edu,"['Leeds Brown Atrium', 'Office of Career Services', 'Student Lounge', 'Weitz & Luxenberg Trial Courtroom', 'Siben Moot Courtroom', 'Library Entrance and Atrium', 'Lower-Level Paralegal Classroom', 'Law School Cafe', 'Clinic Office', 'Enrollment Office', 'Zarb School of Business', 'Cybersecurity Innovation and Research Center', 'Mack Student Center', 'Graduate Residence Hall', 'Hofstra Northwell School of Medicine', 'Fitness Center', 'Nassau County Courthouse', 'New York City']"
28,142648,Hofstra Student Center,61595,Hofstra University,http://www.hofstra.edu,['Hofstra University']
29,80229,University of California Santa Barbara,59989,University of California-Santa Barbara,http://www.ucsb.edu,"['Welcome to UCSB!', 'University Center', 'UCSB Lagoon', 'Campus Point', 'Student Resource Building', 'Events Center', 'Isla Vista', 'Arts', 'Mosher Alumni House', 'Recreation Center', 'Goleta Pier', 'Santa Rosa Residence Hall', 'College of Letters & Science at Cheadle Hall', 'College of Creative Studies', 'Campbell Hall', 'Visitor Center', 'Storke Tower Plaza', 'College of Engineering', 'De La Guerra Dining Commons', 'UCSB Library', 'MultiCultural Center', 'Career Services', 'Kirby Crossing', 'Marine Science Insitute']"
30,141636,UMass Amherst,63578,University of Massachusetts Amherst,http://www.umass.edu,"['OLD CHAPEL', '\ufeff2021 POND', '2021 INTEGRATIVE LEARNING CENTER (ILC)', 'FINE ARTS CENTER', '2021 CAMPUS CENTER LAWN', '2021 STUDENT UNION', 'ISENBERG BUSINESS HUB', '2021 SOUTH COLLEGE COMMONS', '2021 LIBRARY', '2021 OLD CHAPEL', 'JOHN W. OLVER DESIGN BUILDING', '2021 FINE ARTS CENTER', '2021 ISENBERG BUSINESS HUB', 'INTEGRATED SCIENCES BUILDING', 'ENGINEERING HUB', '2021 JOHN W. OLVER DESIGN BUILDING', 'CAMPUS CENTER CONCOURSE', '2021 LIFE SCIENCES LABS/INTEGRATED SCIENCES BUILDING', 'INTEGRATIVE LEARNING CENTER (ILC)', '2021 WORCESTER DINING COMMON', 'LIBRARY', '2021 NORTHEAST QUAD', 'SOUTH COLLEGE COMMONS', '2021 LAWN BY PHYSICAL SCIENCES', '2021 REC CENTER', 'REC CENTER', '2021 COMMONWEALTH HONORS COLLEGE', 'COMMONWEALTH HONORS COLLEGE', '2021 PLAYING FIELDS', 'VAN METER HALL', '2021 SOUTHWEST', '2021 STUDENT FARM', '2021 DOWNTOWN AMHERST', 'DOWNTOWN AMHERST']"
31,139582,Case Western Reserve University,60771,Case Western Reserve University,http://case.edu,"['Welcome', 'Kelvin Smith Library', 'Tinkham Veale University Center', 'Mather Quad', 'Peter B. Lewis Building', 'Maltz Performing Arts Center', 'Wade Oval', '2021 The Health Education Campus', 'First-Year Residential Quad', 'Campus Dining', 'DiSanto Field', 'Uptown', 'Health Care Community', 'Hovorka Atrium', '2021 Hovorka Atrium', 'Wind Turbine', 'Sears think[box]', 'Sears Circuit Laboratory', 'Case Quad']"
32,141064,Edinboro University of  Pennsylvania,61219,Edinboro University of Pennsylvania,http://www.edinboro.edu,"['Welcome', 'Entertainment-  Louis C. Cole Auditorium', 'Art Department: Loveland Hall', 'Jeremy D. Brown Human Services Building', 'Pogue Student Center', 'Dining: Van Houten Dining Hall', 'School of Business: Hendricks Hall', 'Baron-Forness Library', 'Pedestrian Walkway', 'Crawford Center', 'Cooper Science Center', 'School of Education: Butterfield Hall', 'Highlands Residence Halls', 'Fighting Scots Athletics Facilities', 'Mallory Lake', 'Hamilton Hall', 'Edinboro, Pa']"
