institution-id,institution-name,location-id
62930,Rutgers University-Camden,93696
59866,Colgate University,79915
60006,Western Colorado University,80287
60009,William Peace University,80296
59913,University of Kansas,80030
60251,St. John's College MD,94598
60251,St. John's College MD,94596
62675,Otis College of Art and Design,139413
61309,Farmingdale State College,82479
61309,Farmingdale State College,91625
61330,Florida Agricultural and Mechanical University,139273
60202,Montana State University,80065
63476,Truckee Meadows Community College,135760
61115,DePaul University,137340
61115,DePaul University,143010
62610,Nova Southeastern University,94219
62610,Nova Southeastern University,143724
62610,Nova Southeastern University,143660
62610,Nova Southeastern University,143152
62610,Nova Southeastern University,143164
62610,Nova Southeastern University,143731
62610,Nova Southeastern University,143136
62610,Nova Southeastern University,143720
62610,Nova Southeastern University,143658
62610,Nova Southeastern University,143145
62610,Nova Southeastern University,143160
62610,Nova Southeastern University,143729
62610,Nova Southeastern University,143134
62610,Nova Southeastern University,143718
62610,Nova Southeastern University,143737
62610,Nova Southeastern University,143142
62610,Nova Southeastern University,143656
62610,Nova Southeastern University,143158
62610,Nova Southeastern University,143727
62610,Nova Southeastern University,143132
62610,Nova Southeastern University,143663
62610,Nova Southeastern University,143735
62610,Nova Southeastern University,143140
62610,Nova Southeastern University,143654
62610,Nova Southeastern University,143725
62610,Nova Southeastern University,143128
62610,Nova Southeastern University,143661
62610,Nova Southeastern University,143153
62610,Nova Southeastern University,143722
62610,Nova Southeastern University,143165
62610,Nova Southeastern University,143732
62610,Nova Southeastern University,143138
62610,Nova Southeastern University,143659
62610,Nova Southeastern University,143148
62610,Nova Southeastern University,143163
62610,Nova Southeastern University,143730
62610,Nova Southeastern University,143135
62610,Nova Southeastern University,143719
62610,Nova Southeastern University,143143
62610,Nova Southeastern University,143657
62610,Nova Southeastern University,143159
62610,Nova Southeastern University,143728
62610,Nova Southeastern University,143133
62610,Nova Southeastern University,143665
62610,Nova Southeastern University,143736
62610,Nova Southeastern University,143141
62610,Nova Southeastern University,143655
62610,Nova Southeastern University,143726
62610,Nova Southeastern University,143131
62610,Nova Southeastern University,143662
62610,Nova Southeastern University,143157
62610,Nova Southeastern University,143139
62610,Nova Southeastern University,143723
62610,Nova Southeastern University,143316
62610,Nova Southeastern University,143733
61628,Husson University,95805
63541,University of Dayton,140396
63610,University of Northwestern Ohio,80712
60437,Appalachian State University,81368
63708,University of Redlands,80876
61169,Duquesne University,121191
62942,St. Bonaventure University,82255
61439,Georgian Court University,140540
61439,Georgian Court University,143600
61439,Georgian Court University,143607
61439,Georgian Court University,143598
61439,Georgian Court University,143605
61439,Georgian Court University,143596
61439,Georgian Court University,143603
61439,Georgian Court University,143594
61439,Georgian Court University,143601
61439,Georgian Court University,143608
61439,Georgian Court University,143599
61439,Georgian Court University,143606
61439,Georgian Court University,143597
61439,Georgian Court University,143604
61439,Georgian Court University,143595
